DATE,YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2/20/1991,1991,2,20,2,28.2,22.8,25.5,67,3,270
2/21/1991,1991,2,21,0,30.5,24.5,27.5,61,2,40
2/22/1991,1991,2,22,0.1,29,23,26,64,3,40
2/23/1991,1991,2,23,0,28.8,24.1,26.5,66,2,360
2/24/1991,1991,2,24,0,29.5,24.5,27,67,2,90
2/25/1991,1991,2,25,0,29.5,23,26.3,64,3,90
2/26/1991,1991,2,26,0,29,23.2,26.1,64,3,90
2/27/1991,1991,2,27,0,29.9,23.8,26.9,61,3,110
2/28/1991,1991,2,28,0,29.8,22,25.9,60,3,40
3/1/1991,1991,3,1,0,30.8,21.3,26.1,58,3,160
3/2/1991,1991,3,2,0,30.2,21.7,26,64,2,90
3/3/1991,1991,3,3,0,31.3,23.8,27.6,55,2,90
3/4/1991,1991,3,4,0,32,23.8,27.9,62,3,140
3/5/1991,1991,3,5,0,31.4,23.3,27.4,65,3,140
3/6/1991,1991,3,6,0,30.8,22,26.4,59,4,90
3/7/1991,1991,3,7,0,32.1,25.8,29,61,3,290
3/8/1991,1991,3,8,0,32.8,24,28.4,58,3,110
3/9/1991,1991,3,9,0,31.8,23,27.4,65,3,140
3/10/1991,1991,3,10,0,30.7,23.8,27.3,60,2,40
3/11/1991,1991,3,11,0,31,24,27.5,58,2,90
3/12/1991,1991,3,12,0,31,24.5,27.8,60,3,70
3/13/1991,1991,3,13,2.2,30.6,25,27.8,70,3,360
3/14/1991,1991,3,14,6.3,28.8,24.8,26.8,71,2,360
3/15/1991,1991,3,15,0,31,24.5,27.8,67,2,240
3/16/1991,1991,3,16,0,31.3,24.6,28,70,2,140
3/17/1991,1991,3,17,4.2,31.4,24,27.7,65,2,140
3/18/1991,1991,3,18,0,32,24.8,28.4,60,2,110
3/19/1991,1991,3,19,0,32.5,26.2,29.4,64,2,90
3/20/1991,1991,3,20,0,32,25,28.5,58,3,140
3/21/1991,1991,3,21,0,32.8,26.2,29.5,61,3,110
3/22/1991,1991,3,22,0,32.6,25,28.8,58,4,110
3/23/1991,1991,3,23,0,33.6,27,30.3,63,3,140
3/24/1991,1991,3,24,0,32.8,26.8,29.8,62,3,90
3/25/1991,1991,3,25,0,33.3,25.2,29.3,58,4,140
3/26/1991,1991,3,26,0,33,24.5,28.8,54,4,70
3/27/1991,1991,3,27,0,33.6,25,29.3,57,4,140
3/28/1991,1991,3,28,0,33.5,25,29.3,53,3,90
3/29/1991,1991,3,29,0,31.5,25.4,28.5,59,3,110
3/30/1991,1991,3,30,0,33.2,24,28.6,58,4,140
3/31/1991,1991,3,31,0,32,26,29,59,3,140
4/1/1991,1991,4,1,0,31,26,28.5,61,2,90
4/2/1991,1991,4,2,0,30.8,25,27.9,67,2,220
4/3/1991,1991,4,3,0,31.2,25,28.1,65,3,90
4/4/1991,1991,4,4,0,32.5,25.8,29.2,62,3,140
4/5/1991,1991,4,5,0,32.8,26.8,29.8,63,3,140
